ts,ws_temp_f,ws_rh_pct,ws_solar_w_m2,ws_wind_mph,temp_avg,rh_avg,vpd_avg,temp_north,temp_east,temp_west,temp_south,heat1,heat2,fan1,fan2,vent
2025-10-06 08:10:00+00,44.798,,0,1.05136005726557,58.6399993896484,68.0500030517578,0.537478923797607,58.4599990844727,,,58.4599990844727,t,f,f,f,f
2025-10-06 08:12:00+00,44.798,,0,1.05136005726557,58.6399993896484,68.0000076293945,0.53873884677887,58.6399993896484,58.8199996948242,,58.4599990844727,t,f,f,f,f
2025-10-06 08:14:00+00,44.816,,0,0.961882605583393,58.6849975585938,68.0750045776367,0.53791868686676,58.4599990844727,,,58.6399993896484,t,f,f,f,f
2025-10-06 08:16:00+00,44.816,,0,0.961882605583393,58.5949974060059,68.1000061035156,0.536198019981384,,58.6399993896484,,58.4599990844727,t,f,f,f,f
2025-10-06 08:18:00+00,44.816,,0,0.961882605583393,58.5949974060059,67.9750061035156,0.53828889131546,,58.6399993896484,,,t,f,f,f,f
2025-10-06 08:20:00+00,44.744,,0,1.6777022190408,58.6399993896484,68.0500030517578,0.538749754428864,,58.8199996948242,,,t,f,f,f,f
2025-10-06 08:22:00+00,44.744,,0,1.6777022190408,58.6849975585938,68.0500030517578,0.538344979286194,,58.8199996948242,,58.4599990844727,t,f,f,f,f
2025-10-06 08:24:00+00,44.762,,0,1.58822476735863,58.5949974060059,68.0000076293945,0.537873387336731,,58.6399993896484,,,t,f,f,f,f
2025-10-06 08:28:00+00,44.762,,0,1.58822476735863,58.5949974060059,68.0250015258789,0.537455260753632,,58.6399993896484,,,t,f,f,f,f
2025-10-06 08:30:00+00,44.744,,0,0.894774516821761,58.5949974060059,67.9749984741211,0.538297057151794,,58.6399993896484,,,t,f,f,f,f
2025-10-06 08:32:00+00,44.744,,0,0.894774516821761,58.5949974060059,68.0250015258789,0.539580702781677,,58.6399993896484,,,t,f,f,f,f
2025-10-06 08:34:00+00,44.564,,0,0.984251968503937,58.6399993896484,67.9750061035156,0.539167940616608,,58.8199996948242,58.8199996948242,,t,f,f,f,f
2025-10-06 08:36:00+00,44.582,,0,1.70007158196135,58.5949974060059,68,0.537876188755035,,58.6399993896484,,,t,f,f,f,f
2025-10-06 08:44:00+00,44.474,,0,2.2369362920544,58.5949974060059,67.9250030517578,0.539548814296722,,58.6399993896484,58.8199996948242,,t,f,f,f,f
2025-10-06 08:46:00+00,44.474,,0,2.2369362920544,58.5499992370605,67.9749984741211,0.537395894527435,58.4599990844727,,58.6399993896484,,t,f,f,f,f
2025-10-06 08:50:00+00,44.456,,0,3.28829634931997,58.5499992370605,67.9250030517578,0.53739857673645,58.4599990844727,,,58.4599990844727,t,f,f,f,f
2025-10-06 08:52:00+00,44.456,,0,3.28829634931997,58.5050010681152,67.875,0.536564886569977,58.2800025939941,,,,t,f,f,f,f
2025-10-06 08:54:00+00,44.222,,0,2.796170365068,58.5050010681152,67.9250030517578,0.536532044410706,,,,58.4599990844727,t,f,f,f,f
2025-10-06 08:56:00+00,44.222,,0,2.796170365068,58.4599990844727,67.9250030517578,0.536116600036621,,,,58.2800025939941,t,f,f,f,f
2025-10-06 08:58:00+00,44.222,,0,2.796170365068,58.5050010681152,67.8249969482422,0.539057791233063,,,,58.4599990844727,t,f,f,f,f
2025-10-06 09:00:00+00,44.186,,0,1.65533285612026,58.4599990844727,67.8500061035156,0.537789285182953,,,,58.2800025939941,t,f,f,f,f
2025-10-06 09:02:00+00,44.186,,0,1.65533285612026,58.4599990844727,67.875,0.537368416786194,58.2800025939941,58.6399993896484,58.6399993896484,58.2800025939941,t,f,f,f,f
2025-10-06 09:04:00+00,44.186,,0,1.90139584824624,58.3699989318848,67.9250030517578,0.534801661968231,58.0999984741211,,58.4599990844727,,t,f,f,f,f
2025-10-06 09:06:00+00,44.186,,0,1.90139584824624,58.3249969482422,67.9000015258789,0.534353852272034,,58.4599990844727,,,t,f,f,f,f
2025-10-06 09:10:00+00,44.168,,0,2.03561202576951,58.3249969482422,67.9500045776367,0.53352814912796,,58.4599990844727,,,t,f,f,f,f
2025-10-06 09:12:00+00,44.168,,0,2.03561202576951,58.3249969482422,67.875,0.534769237041473,,58.4599990844727,,,t,f,f,f,f
2025-10-06 09:16:00+00,44.204,,0,1.8790264853257,58.3249969482422,67.875,0.534774661064148,,,,58.2800025939941,t,f,f,f,f
